Volba,Popis
1,FULL SCAN — Spustí vše: fingerprinting → AI scraper → DOM analýza → Cookie test → Bypass hledání → AI generování hesel → Brute-force → Report
2,"TCP/IP fingerprint — Server, WAF, security headers"
3,AI Brute-force přes XML-RPC (rychlejší)
4,AI Brute-force přes wp-login.php (s nonce extraction)
5,Cookie injection test — zkouší admin session hijack
6,"DOM Shadow Analyzer — hledá skryté formuláře, credentials v komentářích, JS proměnné"
7,"Bypass Researcher — hledá alternativní login cesty, debug log, phpMyAdmin, REST API"
8,"AI Context Scraper — vytáhne emaily, jména, klíčová slova z targetu"
9,AI Password Generator — vygeneruje wordlist z kontextu stránky
10,Report — zobrazí finální report
